기준일자,박스오피스순위,영화명,해당일관객수,누적관객수,스크린수,상영횟수
2026-09-08,1,오디세이,76675,10192012,1590,4654
2026-09-08,2,옵세션,26367,239527,681,1587
2026-09-08,3,스파이더맨: 브랜드 뉴 데이,13287,8819167,669,1595
2026-09-08,4,비광,6559,82428,552,985
2026-09-08,5,싱 어게인,5490,67281,538,773
2026-09-08,6,경주기행,4926,308324,537,935
2026-09-08,7,왕과 사는 남자,1825,16924757,12,14
2026-09-08,8,오크 스트리트의 마지막 날,1032,132622,163,180
2026-09-08,9,인 더 그레이,1011,10211,130,205
2026-09-08,10,사진의 얼굴,801,4831,60,71
2026-09-07,1,오디세이,87379,10115337,1560,4665
2026-09-07,2,옵세션,28062,213160,660,1577
2026-09-07,3,스파이더맨: 브랜드 뉴 데이,13865,8805880,655,1622
2026-09-07,4,싱 어게인,5860,61791,552,807
2026-09-07,5,경주기행,5805,303398,539,979
2026-09-07,6,비광,4477,75869,526,933
2026-09-07,7,오크 스트리트의 마지막 날,1089,131590,167,186
2026-09-07,8,명탐정 코난: 하이웨이의 타천사,905,421534,162,174
2026-09-07,9,인 더 그레이,820,9200,129,202
2026-09-07,10,왕과 사는 남자,600,16922932,3,4
2026-09-06,1,오디세이,259735,10027958,1841,5914
2026-09-06,2,스파이더맨: 브랜드 뉴 데이,54890,8792015,725,1891
2026-09-06,3,옵세션,51463,185098,717,1566
2026-09-06,4,경주기행,17834,297593,612,1041
2026-09-06,5,비광,14419,71392,610,1072
2026-09-06,6,싱 어게인,12004,55931,556,761
2026-09-06,7,사랑의 하츄핑: 고래보석의 전설,8034,858707,344,405
2026-09-06,8,명탐정 코난: 하이웨이의 타천사,2942,420629,183,207
2026-09-06,9,오크 스트리트의 마지막 날,2433,130501,199,235
2026-09-06,10,모모와 다락방의 수상한 요괴들,2274,310413,102,108
2026-09-05,1,오디세이,301242,9768223,1858,6210
2026-09-05,2,스파이더맨: 브랜드 뉴 데이,63671,8737125,720,1981
2026-09-05,3,옵세션,55420,133635,702,1552
2026-09-05,4,경주기행,19641,279759,625,1074
2026-09-05,5,비광,15874,56973,621,1130
2026-09-05,6,싱 어게인,13282,43927,570,787
2026-09-05,7,사랑의 하츄핑: 고래보석의 전설,7944,850673,346,418
2026-09-05,8,인턴,3379,11989,19,19
2026-09-05,9,명탐정 코난: 하이웨이의 타천사,3164,417687,185,212
2026-09-05,10,오크 스트리트의 마지막 날,2849,128068,215,243
2026-09-04,1,오디세이,137399,9466981,1701,5284
2026-09-04,2,옵세션,31562,78215,637,1394
2026-09-04,3,스파이더맨: 브랜드 뉴 데이,28112,8673454,705,1818
2026-09-04,4,경주기행,11941,260118,602,1126
2026-09-04,5,비광,10542,41099,634,1343
2026-09-04,6,싱 어게인,9096,30645,591,969
2026-09-04,7,인턴,8610,8610,38,39
2026-09-04,8,오크 스트리트의 마지막 날,2229,125219,268,310
2026-09-04,9,명탐정 코난: 하이웨이의 타천사,1847,414523,191,219
2026-09-04,10,인 더 그레이,1242,5695,148,250
2026-09-03,1,오디세이,98405,9329582,1612,4807
2026-09-03,2,옵세션,21759,46653,637,1325
2026-09-03,3,스파이더맨: 브랜드 뉴 데이,19221,8645342,664,1657
2026-09-03,4,비광,12726,30557,667,1479
2026-09-03,5,경주기행,9674,248177,582,1032
2026-09-03,6,싱 어게인,9660,21549,612,1022
2026-09-03,7,명탐정 코난: 하이웨이의 타천사,1745,412676,183,203
2026-09-03,8,오크 스트리트의 마지막 날,1683,122990,259,300
2026-09-03,9,모모와 다락방의 수상한 요괴들,1648,304593,96,129
2026-09-03,10,인 더 그레이,1338,4453,152,271
2026-09-02,1,오디세이,106989,9231177,1609,4821
2026-09-02,2,스파이더맨: 브랜드 뉴 데이,26223,8626121,659,1676
2026-09-02,3,옵세션,23956,24894,618,1307
2026-09-02,4,비광,16036,17831,667,1544
2026-09-02,5,경주기행,12730,238503,572,1041
2026-09-02,6,싱 어게인,10500,11889,607,1014
2026-09-02,7,인 더 그레이,2959,3115,156,295
2026-09-02,8,명탐정 코난: 하이웨이의 타천사,2394,410931,190,213
2026-09-02,9,핵소 고지,2292,181576,89,139
2026-09-02,10,모모와 다락방의 수상한 요괴들,2207,302945,95,131
2026-09-01,1,오디세이,113407,9124188,1760,5286
2026-09-01,2,스파이더맨: 브랜드 뉴 데이,22865,8599898,827,2040
2026-09-01,3,경주기행,15292,225773,655,1754
2026-09-01,4,오크 스트리트의 마지막 날,5212,119408,599,1032
2026-09-01,5,인시디어스: 그들이 넘어왔다,2922,154456,271,326
2026-09-01,6,명탐정 코난: 하이웨이의 타천사,2370,408537,328,379
2026-09-01,7,도그 스타: 마지막 희망,1491,14732,228,310
2026-09-01,8,오케이 마담2,1106,337976,164,185
2026-09-01,9,사랑의 하츄핑: 고래보석의 전설,1098,840867,114,122
2026-09-01,10,호프,969,4537179,117,150
2026-08-31,1,오디세이,145914,9010781,1736,5290
2026-08-31,2,스파이더맨: 브랜드 뉴 데이,28651,8577033,816,2071
2026-08-31,3,경주기행,18101,210481,649,1759
2026-08-31,4,오크 스트리트의 마지막 날,6760,114196,628,1114
2026-08-31,5,인시디어스: 그들이 넘어왔다,3205,151534,272,321
2026-08-31,6,명탐정 코난: 하이웨이의 타천사,3078,406167,323,387
2026-08-31,7,오케이 마담2,1963,336870,184,209
2026-08-31,8,도그 스타: 마지막 희망,1523,13241,233,312
2026-08-31,9,호프,1130,4536210,112,150
2026-08-31,10,사랑의 하츄핑: 고래보석의 전설,1066,839769,112,121
2026-08-30,1,오디세이,393890,8864867,2046,6427
2026-08-30,2,스파이더맨: 브랜드 뉴 데이,94282,8548382,886,2228
2026-08-30,3,경주기행,44484,192380,801,1669
2026-08-30,4,오크 스트리트의 마지막 날,20860,107436,686,1095
2026-08-30,5,사랑의 하츄핑: 고래보석의 전설,19984,838703,467,569
2026-08-30,6,명탐정 코난: 하이웨이의 타천사,7618,403089,312,370
2026-08-30,7,인시디어스: 그들이 넘어왔다,7157,148329,288,345
2026-08-30,8,오케이 마담2,5038,334907,182,198
2026-08-30,9,퍼피 구조대: 더 다이노 무비,4043,106540,152,166
2026-08-30,10,고스트밴드,3623,13803,143,221
2026-08-29,1,오디세이,453544,8470977,2071,6770
2026-08-29,2,스파이더맨: 브랜드 뉴 데이,109710,8454100,910,2306
2026-08-29,3,경주기행,52104,147896,766,1712
2026-08-29,4,오크 스트리트의 마지막 날,26773,86576,702,1168
2026-08-29,5,사랑의 하츄핑: 고래보석의 전설,18067,818719,475,580
2026-08-29,6,인시디어스: 그들이 넘어왔다,8759,141172,301,360
2026-08-29,7,명탐정 코난: 하이웨이의 타천사,8619,395471,330,388
2026-08-29,8,퍼피 구조대: 더 다이노 무비,4045,102497,158,177
2026-08-29,9,극장판 귀멸의 칼날: 무한성편,3522,5822719,50,54
2026-08-29,10,고스트밴드,3377,10180,141,215
2026-08-28,1,오디세이,211173,8017433,1850,5807
2026-08-28,2,스파이더맨: 브랜드 뉴 데이,46450,8344390,845,2148
2026-08-28,3,경주기행,28375,95792,744,2032
2026-08-28,4,오크 스트리트의 마지막 날,15837,59803,728,1461
2026-08-28,5,인시디어스: 그들이 넘어왔다,6209,132413,305,367
2026-08-28,6,명탐정 코난: 하이웨이의 타천사,4448,386852,337,425
2026-08-28,7,오케이 마담2,2903,326841,214,238
2026-08-28,8,도그 스타: 마지막 희망,2327,7067,258,388
2026-08-28,9,호프,1971,4530399,121,151
2026-08-28,10,드라큘라: 러브 테일,1716,8527,118,149
2026-08-27,1,오디세이,150084,7806260,1735,5214
2026-08-27,2,스파이더맨: 브랜드 뉴 데이,34751,8297940,815,2006
2026-08-27,3,경주기행,25131,67417,721,2019
2026-08-27,4,오크 스트리트의 마지막 날,15087,43966,736,1519
2026-08-27,5,명탐정 코난: 하이웨이의 타천사,4628,382404,342,419
2026-08-27,6,인시디어스: 그들이 넘어왔다,4551,126204,301,360
2026-08-27,7,오케이 마담2,4201,323938,216,245
2026-08-27,8,드라큘라: 러브 테일,3242,6811,123,177
2026-08-27,9,도그 스타: 마지막 희망,1933,4740,273,392
2026-08-27,10,호프,1826,4528428,127,156
2026-08-26,1,오디세이,195896,7656176,1813,5258
2026-08-26,2,스파이더맨: 브랜드 뉴 데이,47642,8263189,850,2029
2026-08-26,3,경주기행,36800,42286,744,2017
2026-08-26,4,오크 스트리트의 마지막 날,27029,28879,771,1591
2026-08-26,5,명탐정 코난: 하이웨이의 타천사,8667,377776,364,452
2026-08-26,6,인시디어스: 그들이 넘어왔다,6031,121653,351,399
2026-08-26,7,오케이 마담2,3457,319737,231,259
2026-08-26,8,드라큘라: 러브 테일,3042,3569,130,177
2026-08-26,9,도그 스타: 마지막 희망,2518,2807,280,397
2026-08-26,10,극장판 귀멸의 칼날: 무한성편,2336,5816952,61,75
2026-08-25,1,오디세이,164391,7460280,1917,5898
2026-08-25,2,스파이더맨: 브랜드 뉴 데이,41656,8215547,995,2717
2026-08-25,3,인시디어스: 그들이 넘어왔다,10898,115622,615,1079
2026-08-25,4,명탐정 코난: 하이웨이의 타천사,6165,369109,541,785
2026-08-25,5,오케이 마담2,5776,316280,484,684
2026-08-25,6,사랑의 하츄핑: 고래보석의 전설,3774,795191,308,349
2026-08-25,7,호프,3090,4524497,210,322
2026-08-25,8,오크 스트리트의 마지막 날,1306,1850,7,7
2026-08-25,9,마루 밑 아리에티,1239,1088832,133,159
2026-08-25,10,워페어,1224,16374,157,240
2026-08-22,1,오디세이,557343,6607108,2182,7240
2026-08-22,2,스파이더맨: 브랜드 뉴 데이,164390,7978343,1070,2988
2026-08-22,3,사랑의 하츄핑: 고래보석의 전설,31522,756037,606,884
2026-08-22,4,인시디어스: 그들이 넘어왔다,28984,71194,619,1069
2026-08-22,5,명탐정 코난: 하이웨이의 타천사,20291,336351,574,783
2026-08-22,6,오케이 마담2,12926,293276,496,653
2026-08-22,7,퍼피 구조대: 더 다이노 무비,9347,85766,275,333
2026-08-22,8,호프,7185,4512317,175,247
2026-08-22,9,마루 밑 아리에티,4939,1082317,140,160
2026-08-22,10,다윗,3176,303829,48,55
2026-08-21,1,오디세이,261648,6049765,1986,6189
2026-08-21,2,스파이더맨: 브랜드 뉴 데이,73118,7813953,1077,3040
2026-08-21,3,인시디어스: 그들이 넘어왔다,19880,42210,678,1409
2026-08-21,4,명탐정 코난: 하이웨이의 타천사,9839,316060,601,905
2026-08-21,5,오케이 마담2,8427,280350,588,873
2026-08-21,6,사랑의 하츄핑: 고래보석의 전설,5769,724515,378,440
2026-08-21,7,호프,5115,4505132,207,328
2026-08-21,8,워페어,1827,8357,184,285
2026-08-21,9,어떻게 해야 했을까?,1660,79674,52,75
2026-08-21,10,마루 밑 아리에티,1551,1077378,126,169
2026-08-20,1,오디세이,188665,5788117,1831,5438
2026-08-20,2,스파이더맨: 브랜드 뉴 데이,55282,7740835,1056,2906
2026-08-20,3,인시디어스: 그들이 넘어왔다,21976,22330,690,1563
2026-08-20,4,명탐정 코난: 하이웨이의 타천사,9850,306221,598,930
2026-08-20,5,오케이 마담2,9623,271923,585,972
2026-08-20,6,사랑의 하츄핑: 고래보석의 전설,5211,718746,366,418
2026-08-20,7,호프,3819,4500017,208,334
2026-08-20,8,워페어,2225,6530,181,302
2026-08-20,9,마루 밑 아리에티,1873,1075827,155,233
2026-08-20,10,"청년 조용기: 신을 저주하던 청년, 시대를 긋는 종이 되다",1727,8190,8,17
2026-08-19,1,오디세이,207839,5599452,1875,5621
2026-08-19,2,스파이더맨: 브랜드 뉴 데이,66386,7685553,1126,3185
2026-08-19,3,명탐정 코난: 하이웨이의 타천사,17422,296371,695,1237
2026-08-19,4,오케이 마담2,11460,262300,651,1168
2026-08-19,5,사랑의 하츄핑: 고래보석의 전설,6984,713535,411,492
2026-08-19,6,마루 밑 아리에티,5132,1073954,186,303
2026-08-19,7,호프,4088,4496198,248,390
2026-08-19,8,워페어,3815,4305,199,381
2026-08-19,9,에이티즈 : 라이트 더 웨이 인 시네마,1999,1999,27,54
2026-08-19,10,퍼피 구조대: 더 다이노 무비,1824,74018,160,170
2026-08-18,1,오디세이,228275,5391613,1787,5446
2026-08-18,2,스파이더맨: 브랜드 뉴 데이,78107,7619167,1181,3487
2026-08-18,3,명탐정 코난: 하이웨이의 타천사,14573,278949,663,1246
2026-08-18,4,오케이 마담2,11460,250840,691,1484
2026-08-18,5,사랑의 하츄핑: 고래보석의 전설,8489,706551,490,652
2026-08-18,6,호프,5313,4492110,329,491
2026-08-18,7,퍼피 구조대: 더 다이노 무비,2352,72194,219,236
2026-08-18,8,어떻게 해야 했을까?,2149,75063,51,89
2026-08-18,9,"청년 조용기: 신을 저주하던 청년, 시대를 긋는 종이 되다",1032,5743,5,9
2026-08-18,10,미니언즈 & 몬스터즈,645,773600,15,15
2026-08-17,1,오디세이,620942,5163338,2109,6473
2026-08-17,2,스파이더맨: 브랜드 뉴 데이,261749,7541060,1268,3802
2026-08-17,3,사랑의 하츄핑: 고래보석의 전설,64547,698062,700,1175
2026-08-17,4,명탐정 코난: 하이웨이의 타천사,38351,264376,709,1224
2026-08-17,5,오케이 마담2,35416,239380,673,1287
2026-08-17,6,퍼피 구조대: 더 다이노 무비,22217,69842,353,409
2026-08-17,7,호프,11255,4486797,280,416
2026-08-17,8,어떻게 해야 했을까?,3602,72914,49,87
2026-08-17,9,다윗,1248,299941,22,24
2026-08-17,10,보헤미안 랩소디,957,9955715,72,89
2026-08-16,1,오디세이,720582,4542396,2114,6633
2026-08-16,2,스파이더맨: 브랜드 뉴 데이,314136,7279311,1311,4060
2026-08-16,3,사랑의 하츄핑: 고래보석의 전설,58345,633515,744,1262
2026-08-16,4,오케이 마담2,46765,203964,741,1556
2026-08-16,5,명탐정 코난: 하이웨이의 타천사,42018,226025,714,1288
2026-08-16,6,퍼피 구조대: 더 다이노 무비,18180,47625,340,386
2026-08-16,7,호프,15400,4475542,289,434
2026-08-16,8,어떻게 해야 했을까?,3502,69312,55,90
2026-08-16,9,다윗,3321,298693,44,51
2026-08-16,10,보헤미안 랩소디,996,9954758,65,88
2026-08-15,1,오디세이,642075,3821814,2042,6454
2026-08-15,2,스파이더맨: 브랜드 뉴 데이,298734,6965175,1313,4152
2026-08-15,3,사랑의 하츄핑: 고래보석의 전설,61150,575170,727,1232
2026-08-15,4,오케이 마담2,47975,157199,772,1708
2026-08-15,5,명탐정 코난: 하이웨이의 타천사,45697,184007,710,1317
2026-08-15,6,퍼피 구조대: 더 다이노 무비,17952,29445,343,385
2026-08-15,7,호프,14137,4460142,283,431
2026-08-15,8,어떻게 해야 했을까?,3532,65810,51,89
2026-08-15,9,다윗,3049,295372,42,44
2026-08-15,10,애정만세,1650,5946,41,59
2026-08-14,1,오디세이,329032,3179739,1876,5485
2026-08-14,2,스파이더맨: 브랜드 뉴 데이,154940,6666441,1380,4175
2026-08-14,3,명탐정 코난: 하이웨이의 타천사,28803,138310,752,1498
2026-08-14,4,오케이 마담2,26241,109224,844,2160
2026-08-14,5,사랑의 하츄핑: 고래보석의 전설,14427,514020,582,790
2026-08-14,6,호프,9171,4446005,324,480
2026-08-14,7,퍼피 구조대: 더 다이노 무비,3507,11493,274,296
2026-08-14,8,어떻게 해야 했을까?,2465,62278,56,104
2026-08-14,9,보헤미안 랩소디,2111,9952635,60,166
2026-08-14,10,미니언즈 & 몬스터즈,1460,771939,39,39
2026-08-13,1,오디세이,234823,2850707,1726,4879
2026-08-13,2,스파이더맨: 브랜드 뉴 데이,121466,6511501,1369,4118
2026-08-13,3,명탐정 코난: 하이웨이의 타천사,32715,109507,717,1541
2026-08-13,4,오케이 마담2,28054,82983,857,2345
2026-08-13,5,사랑의 하츄핑: 고래보석의 전설,12203,499593,545,754
2026-08-13,6,호프,6750,4436834,317,418
2026-08-13,7,퍼피 구조대: 더 다이노 무비,4240,7986,289,314
2026-08-13,8,경주기행,3112,3112,13,14
2026-08-13,9,어떻게 해야 했을까?,2338,59813,53,94
2026-08-13,10,"청년 조용기: 신을 저주하던 청년, 시대를 긋는 종이 되다",1403,4091,5,13
2026-08-12,1,오디세이,247314,2615884,1727,4730
2026-08-12,2,스파이더맨: 브랜드 뉴 데이,147198,6390035,1443,4208
2026-08-12,3,명탐정 코난: 하이웨이의 타천사,67964,76792,809,1794
2026-08-12,4,오케이 마담2,42923,54929,925,2514
2026-08-12,5,사랑의 하츄핑: 고래보석의 전설,14977,487390,564,793
2026-08-12,6,호프,7631,4430084,307,406
2026-08-12,7,어떻게 해야 했을까?,2734,57475,51,93
2026-08-12,8,미니언즈 & 몬스터즈,1232,769404,48,50
2026-08-12,9,보헤미안 랩소디,1230,9949616,54,171
2026-08-12,10,애정만세,1201,3211,48,52
2026-08-11,1,오디세이,236216,2368570,1697,5075
2026-08-11,2,스파이더맨: 브랜드 뉴 데이,151900,6242837,1618,5552
2026-08-11,3,사랑의 하츄핑: 고래보석의 전설,19207,472413,755,1509
2026-08-11,4,호프,14078,4422453,580,977
2026-08-11,5,어떻게 해야 했을까?,2696,54741,70,127
2026-08-11,6,미니언즈 & 몬스터즈,2689,768172,222,233
2026-08-11,7,토이 스토리 5,1765,2942253,120,126
2026-08-11,8,"청년 조용기: 신을 저주하던 청년, 시대를 긋는 종이 되다",1193,2055,6,10
2026-08-11,9,모아나,1172,1022921,64,67
2026-08-11,10,다윗,964,291271,64,67
2026-08-10,1,오디세이,257608,2132354,1647,4991
2026-08-10,2,스파이더맨: 브랜드 뉴 데이,174608,6090937,1590,5518
2026-08-10,3,사랑의 하츄핑: 고래보석의 전설,19410,453206,726,1509
2026-08-10,4,호프,14523,4408375,562,949
2026-08-10,5,어떻게 해야 했을까?,2317,52045,70,132
2026-08-10,6,미니언즈 & 몬스터즈,2193,765483,208,217
2026-08-10,7,토이 스토리 5,1112,2940488,109,112
2026-08-10,8,다윗,958,290307,65,69
2026-08-10,9,모아나,826,1021749,67,70
2026-08-10,10,마티 슈프림,290,131843,18,18
2026-08-09,1,오디세이,497540,1874746,1798,5118
2026-08-09,2,스파이더맨: 브랜드 뉴 데이,463905,5916329,1763,6052
2026-08-09,3,사랑의 하츄핑: 고래보석의 전설,123562,433796,941,2164
2026-08-09,4,호프,32223,4393852,548,832
2026-08-09,5,다윗,8342,289349,145,154
2026-08-09,6,미니언즈 & 몬스터즈,5014,763290,227,243
2026-08-09,7,명탐정 코난: 하이웨이의 타천사,4473,8828,37,38
2026-08-09,8,어떻게 해야 했을까?,3978,49728,79,137
2026-08-09,9,오케이 마담2,2382,11783,12,14
2026-08-09,10,토이 스토리 5,1907,2939376,99,102
2026-08-08,1,오디세이,525638,1377206,1745,5187
2026-08-08,2,스파이더맨: 브랜드 뉴 데이,514125,5452424,1802,6440
2026-08-08,3,사랑의 하츄핑: 고래보석의 전설,124184,310234,958,2216
2026-08-08,4,호프,37846,4361629,553,868
2026-08-08,5,다윗,5847,281007,125,134
2026-08-08,6,미니언즈 & 몬스터즈,5077,758276,227,240
2026-08-08,7,어떻게 해야 했을까?,4547,45750,76,140
2026-08-08,8,명탐정 코난: 하이웨이의 타천사,4355,4355,36,37
2026-08-08,9,토이 스토리 5,2067,2937469,109,112
2026-08-08,10,오케이 마담2,1527,9401,12,16
2026-08-07,1,오디세이,310279,851568,1633,5012
2026-08-07,2,스파이더맨: 브랜드 뉴 데이,286706,4938299,1751,6084
2026-08-07,3,사랑의 하츄핑: 고래보석의 전설,41708,186050,822,1798
2026-08-07,4,호프,30831,4323783,658,1135
2026-08-07,5,미니언즈 & 몬스터즈,4525,753199,260,281
2026-08-07,6,어떻게 해야 했을까?,3505,41203,81,145
2026-08-07,7,다윗,2671,275160,75,79
2026-08-07,8,토이 스토리 5,2415,2935402,141,149
2026-08-07,9,모아나,1570,1019218,91,97
2026-08-07,10,투모로우바이투게더 브이알 콘서트 : 엔드리스 라이드,454,5528,2,16
2026-08-06,1,오디세이,246217,541289,1660,4912
2026-08-06,2,스파이더맨: 브랜드 뉴 데이,238064,4651593,1694,5675
2026-08-06,3,사랑의 하츄핑: 고래보석의 전설,43768,144342,801,1698
2026-08-06,4,호프,27200,4292952,688,1163
2026-08-06,5,미니언즈 & 몬스터즈,4646,748674,284,313
2026-08-06,6,오케이 마담2,4467,7874,25,25
2026-08-06,7,어떻게 해야 했을까?,3420,37698,78,143
2026-08-06,8,토이 스토리 5,2665,2932987,148,154
2026-08-06,9,다윗,1607,272489,77,81
2026-08-06,10,모아나,1536,1017648,106,113
2026-08-05,1,오디세이,292705,295072,1682,5036
2026-08-05,2,스파이더맨: 브랜드 뉴 데이,275160,4413529,1666,5657
2026-08-05,3,사랑의 하츄핑: 고래보석의 전설,73162,100574,824,1751
2026-08-05,4,호프,30063,4265752,690,1164
2026-08-05,5,미니언즈 & 몬스터즈,5297,744028,302,340
2026-08-05,6,어떻게 해야 했을까?,4132,34278,74,140
2026-08-05,7,토이 스토리 5,2768,2930322,150,162
2026-08-05,8,모아나,2325,1016112,119,127
2026-08-05,9,다윗,1390,270882,70,74
2026-08-05,10,퍼피 구조대: 더 다이노 무비,746,746,3,3
2026-08-04,1,스파이더맨: 브랜드 뉴 데이,348280,4138369,2214,8852
2026-08-04,2,호프,61234,4235689,919,2690
2026-08-04,3,미니언즈 & 몬스터즈,12337,738731,668,1029
2026-08-04,4,토이 스토리 5,7890,2927554,385,488
2026-08-04,5,모아나,6860,1013787,444,603
2026-08-04,6,다윗,3059,269492,178,204
2026-08-04,7,어떻게 해야 했을까?,2991,30146,56,104
2026-08-04,8,눈동자,1369,1540223,168,189
2026-08-04,9,오디세이,1065,2367,3,3
2026-08-04,10,사랑의 하츄핑: 고래보석의 전설,916,27412,3,6
2026-08-03,1,스파이더맨: 브랜드 뉴 데이,401776,3790089,2178,8774
2026-08-03,2,호프,63927,4174455,901,2658
2026-08-03,3,미니언즈 & 몬스터즈,12454,726394,672,1050
2026-08-03,4,토이 스토리 5,7454,2919664,384,487
2026-08-03,5,모아나,6986,1006927,437,580
2026-08-03,6,어떻게 해야 했을까?,3147,27155,59,103
2026-08-03,7,다윗,3085,266433,171,199
2026-08-03,8,눈동자,1489,1538854,164,185
2026-08-03,9,드림 애니멀즈: 더무비,845,42841,112,112
2026-08-03,10,오디세이,678,1302,2,2
2026-08-02,1,스파이더맨: 브랜드 뉴 데이,826332,3388313,2382,9784
2026-08-02,2,호프,117895,4110528,965,2620
2026-08-02,3,미니언즈 & 몬스터즈,23030,713940,716,1089
2026-08-02,4,모아나,12763,999941,452,580
2026-08-02,5,토이 스토리 5,11552,2912210,375,472
2026-08-02,6,사랑의 하츄핑: 고래보석의 전설,10305,26496,75,85
2026-08-02,7,다윗,9917,263348,243,276
2026-08-02,8,어떻게 해야 했을까?,5434,24008,63,107
2026-08-02,9,눈동자,2341,1537365,151,176
2026-08-02,10,드림 애니멀즈: 더무비,1411,41996,126,130
2026-08-01,1,스파이더맨: 브랜드 뉴 데이,901577,2561981,2409,10152
2026-08-01,2,호프,136417,3992633,957,2724
2026-08-01,3,미니언즈 & 몬스터즈,22173,690910,715,1091
2026-08-01,4,모아나,12729,987178,465,626
2026-08-01,5,사랑의 하츄핑: 고래보석의 전설,10683,16191,76,91
2026-08-01,6,토이 스토리 5,9940,2900658,367,455
2026-08-01,7,다윗,8795,253431,253,285
2026-08-01,8,어떻게 해야 했을까?,6224,18574,67,110
2026-08-01,9,눈동자,2646,1535024,160,187
2026-08-01,10,드림 애니멀즈: 더무비,1365,40585,130,134
2026-07-31,1,스파이더맨: 브랜드 뉴 데이,526328,1660404,2275,9373
2026-07-31,2,호프,81496,3856216,1005,2980
2026-07-31,3,미니언즈 & 몬스터즈,20042,668737,726,1110
2026-07-31,4,모아나,11630,974449,480,705
2026-07-31,5,토이 스토리 5,10380,2890718,395,472
2026-07-31,6,다윗,6272,244636,186,207
2026-07-31,7,어떻게 해야 했을까?,4351,12350,61,94
2026-07-31,8,눈동자,2375,1532378,200,246
2026-07-31,9,드림 애니멀즈: 더무비,1943,39220,173,178
2026-07-31,10,투모로우바이투게더 브이알 콘서트 : 엔드리스 라이드,1469,1469,2,14
2026-07-30,1,스파이더맨: 브랜드 뉴 데이,441844,1134076,2222,8848
2026-07-30,2,호프,67623,3774720,1026,2954
2026-07-30,3,미니언즈 & 몬스터즈,20610,648695,690,1067
2026-07-30,4,모아나,11882,962819,486,707
2026-07-30,5,토이 스토리 5,9967,2880338,358,435
2026-07-30,6,어떻게 해야 했을까?,3913,7999,52,80
2026-07-30,7,다윗,3836,238364,150,166
2026-07-30,8,드림 애니멀즈: 더무비,3444,37277,238,250
2026-07-30,9,눈동자,2680,1530003,220,261
2026-07-30,10,산양들,1118,2827,39,51
2026-07-29,1,스파이더맨: 브랜드 뉴 데이,690978,692232,2304,9082
2026-07-29,2,호프,87892,3707097,1023,2901
2026-07-29,3,미니언즈 & 몬스터즈,21655,628085,692,1065
2026-07-29,4,모아나,11100,950937,471,656
2026-07-29,5,토이 스토리 5,9231,2870371,320,385
2026-07-29,6,어떻게 해야 했을까?,3694,4086,61,77
2026-07-29,7,다윗,3669,234528,139,157
2026-07-29,8,드림 애니멀즈: 더무비,2522,33833,224,231
2026-07-29,9,눈동자,2488,1527323,199,232
2026-07-29,10,왕과 사는 남자,1004,16916280,12,12
2026-07-28,1,호프,100147,3619205,2108,7258
2026-07-28,2,미니언즈 & 몬스터즈,22067,606430,806,1886
2026-07-28,3,모아나,15557,939837,724,1441
2026-07-28,4,토이 스토리 5,12498,2861140,536,884
2026-07-28,5,눈동자,6533,1524835,525,881
2026-07-28,6,다윗,5472,230859,315,388
2026-07-28,7,드림 애니멀즈: 더무비,3166,31311,323,414
2026-07-28,8,스파이더맨: 브랜드 뉴 데이,1254,1254,3,5
2026-07-28,9,군체,967,5844508,128,149
2026-07-28,10,사랑의 하츄핑: 고래보석의 전설,961,4951,5,5
2026-07-27,1,호프,103399,3519058,2096,7272
2026-07-27,2,미니언즈 & 몬스터즈,21401,584363,774,1856
2026-07-27,3,모아나,15049,924280,704,1403
2026-07-27,4,토이 스토리 5,11521,2848642,522,854
2026-07-27,5,눈동자,6698,1518302,545,885
2026-07-27,6,다윗,5037,225387,307,379
2026-07-27,7,드림 애니멀즈: 더무비,3741,28145,337,431
2026-07-27,8,오케이 마담2,2952,3241,12,15
2026-07-27,9,군체,812,5843541,126,143
2026-07-27,10,마티 슈프림,704,126010,53,61
2026-07-26,1,호프,285870,3415659,2245,8010
2026-07-26,2,미니언즈 & 몬스터즈,48445,562962,981,2307
2026-07-26,3,모아나,34802,909231,860,1607
2026-07-26,4,토이 스토리 5,22487,2837121,622,987
2026-07-26,5,다윗,20815,220350,441,542
2026-07-26,6,눈동자,13074,1511604,521,823
2026-07-26,7,드림 애니멀즈: 더무비,6242,24404,378,509
2026-07-26,8,마티 슈프림,1877,125306,67,76
2026-07-26,9,군체,1131,5842729,104,119
2026-07-26,10,극장판 도라에몽: 신 진구의 해저비밀성,979,69572,70,80
2026-07-25,1,호프,327563,3129789,2258,8412
2026-07-25,2,미니언즈 & 몬스터즈,49512,514517,1004,2391
2026-07-25,3,모아나,36157,874429,843,1653
2026-07-25,4,토이 스토리 5,22032,2814634,640,1013
2026-07-25,5,다윗,20331,199535,460,581
2026-07-25,6,눈동자,14534,1498530,563,906
2026-07-25,7,드림 애니멀즈: 더무비,5690,18162,378,518
2026-07-25,8,마티 슈프림,1579,123429,58,66
2026-07-25,9,사랑의 하츄핑: 고래보석의 전설,1558,2983,6,6
2026-07-25,10,군체,1447,5841598,112,127
2026-07-24,1,호프,153908,2802226,2256,8064
2026-07-24,2,미니언즈 & 몬스터즈,19957,465005,794,1848
2026-07-24,3,모아나,16041,838272,743,1414
2026-07-24,4,눈동자,9531,1483996,603,1035
2026-07-24,5,토이 스토리 5,9456,2792602,526,791
